Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"4,730,000","2,737.29","1,728",Jul-25,JALAN SAHABAT,Resale,Land,254.3,"18,600",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,248,888","2,038.7","2,084",Jul-25,PULASAN ROAD,Resale,Land,189.4,"22,433",-,Terrace House,1,Freehold,15,Rest of Central Region,-
HARVEY VIEW,"3,460,000","1,685.64","2,053",Jul-25,HARVEY CRESCENT,Resale,Land,156.6,"22,095",-,Terrace House,1,Freehold,16,Outside Central Region,-
PAVILION PARK,"5,000,000","2,383.15","2,098",Jul-25,PAVILION GREEN,Resale,Land,221.4,"22,584",-,Terrace House,1,Freehold,23,Outside Central Region,-
KEW VALE,"3,000,000","2,382.07","1,259",Jul-25,KEW HEIGHTS,Resale,Land,221.3,"13,556",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,050,000","2,529.54","2,392",Jul-25,NALLUR ROAD,Resale,Land,235,"25,745",-,Terrace House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,200,000","4,604.84","1,564",Jul-25,ROSYTH ROAD,Resale,Land,427.8,"16,830",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
PEOPLE'S GARDEN,"5,528,000","2,754.51","2,007",Jul-25,LORONG 6 REALTY PARK,Resale,Land,255.9,"21,602",-,Terrace House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"5,100,000","3,216.28","1,586",Jul-25,JALAN RUKAM,Resale,Land,298.8,"17,068",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,948,000","2,915.97","2,040",Jul-25,LORONG J TELOK KURAU,Resale,Land,270.9,"21,956",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
CAPITOL PARK,"8,780,000","3,764.17","2,333",Jul-25,UNIVERSITY ROAD,Resale,Land,349.7,"25,107",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"15,550,000","7,070.87","2,199",Jul-25,POOLE ROAD,Resale,Land,656.9,"23,672",-,Detached House,1,Freehold,15,Rest of Central Region,-
WOODLANDS PARK,"3,108,000","3,262.57",953,Jul-25,JALAN KASAU,Resale,Land,303.1,"10,254",-,Semi-Detached House,1,Freehold,25,Outside Central Region,-
KINGSVILLE,"4,820,000","2,696.38","1,788",Jul-25,KING'S DRIVE,Resale,Land,250.5,"19,242",-,Semi-Detached House,1,102 yrs lease commencing from 1996,10,Core Central Region,-
OPERA ESTATE,"6,828,000","4,205.49","1,624",Jul-25,CARMEN STREET,Resale,Land,390.7,"17,476",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
HOLLAND GARDENS,"7,500,000","3,753.41","1,998",Jul-25,MOONBEAM TERRACE,Resale,Land,348.7,"21,508",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
SEMBAWANG SPRINGS ESTATE,"3,500,000","2,119.43","1,651",Jul-25,JALAN SALANG,Resale,Land,196.9,"17,776",-,Terrace House,1,999 yrs lease commencing from 1885,27,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,700,000","1,869.71","1,979",Jul-25,JALAN SENANG,Resale,Land,173.7,"21,301",-,Terrace House,1,Freehold,14,Outside Central Region,-
MING TECK PARK,"6,180,000","1,942.9","3,181",Jul-25,MING TECK PARK,Resale,Land,180.5,"34,238",-,Terrace House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
SENNETT ESTATE,"2,550,000","1,009.66","2,526",Jul-25,WAN THO AVENUE,Resale,Land,93.8,"27,186",-,Terrace House,1,Freehold,13,Rest of Central Region,-
YONG SENG ESTATE,"4,850,000","1,888.01","2,569",Jul-25,JALAN SENANG,Resale,Land,175.4,"27,651",-,Terrace House,1,Freehold,14,Outside Central Region,-
LOYANG VILLAS,"2,390,000","1,625.36","1,470",Jul-25,LOYANG VIEW,Resale,Land,151,"15,828",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
HOLLAND GROVE,"3,750,000","2,713.6","1,382",Jul-25,HOLLAND GROVE VIEW,Resale,Land,252.1,"14,875",-,Semi-Detached House,1,99 yrs lease commencing from 1994,10,Core Central Region,-
CHESTNUT GARDENS,"7,800,000","5,348.63","1,458",Jul-25,CHESTNUT GARDENS,Resale,Land,496.9,"15,697",-,Semi-Detached House,1,999 yrs lease commencing from 1882,23,Outside Central Region,-
KEW VALE,"3,500,000","3,034.37","1,153",Jul-25,KEW HEIGHTS,Resale,Land,281.9,"12,416",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
TOH ESTATE,"5,759,000","6,380.9",903,Jul-25,TOH DRIVE,Resale,Land,592.8,"9,715",-,Detached House,1,Freehold,17,Outside Central Region,-
KEW VALE,"3,060,000","2,287.35","1,338",Jul-25,KEW CRESCENT,Resale,Land,212.5,"14,400",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
SEAVIEW PARK,"11,650,000","5,055.85","2,304",Jul-25,JALAN SEAVIEW,Resale,Land,469.7,"24,803",-,Detached House,1,Freehold,15,Rest of Central Region,-
SEMBAWANG HILLS ESTATE,"4,225,000","1,515.57","2,788",Jul-25,CASUARINA ROAD,Resale,Land,140.8,"30,007",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,400,000","1,891.23","2,327",Jul-25,LANGSAT ROAD,Resale,Land,175.7,"25,043",-,Terrace House,1,Freehold,15,Rest of Central Region,-
BRADDELL HEIGHTS ESTATE,"7,000,000","4,751.23","1,473",Jul-25,MACKERROW ROAD,Resale,Land,441.4,"15,859",-,Semi-Detached House,1,Freehold,13,Outside Central Region,-
SERANGOON GARDEN ESTATE,"6,250,000","4,201.19","1,488",Jul-25,CROWHURST DRIVE,Resale,Land,390.3,"16,013",-,Semi-Detached House,1,999 yrs lease commencing from 1953,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,525,000","2,381","1,900",Jul-25,WOO MON CHEW ROAD,Resale,Land,221.2,"20,457",-,Terrace House,1,Freehold,15,Outside Central Region,-
FRANKEL ESTATE,"3,550,000","1,784.67","1,989",Jul-25,CARLTON AVENUE,Resale,Land,165.8,"21,411",-,Terrace House,1,Freehold,15,Outside Central Region,-
PARRY PARK,"3,848,888","1,685.64","2,283",Jul-25,PARRY VIEW,Resale,Land,156.6,"24,578",-,Terrace House,1,999 yrs lease commencing from 1877,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,050,000","2,144.19","2,355",Jul-25,EAST COAST ROAD,Resale,Land,199.2,"25,351",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,000,000","5,676.93","1,409",Jul-25,LORONG N TELOK KURAU,Resale,Land,527.4,"15,169",-,Detached House,1,Freehold,15,Outside Central Region,-
KEMBANGAN ESTATE,"5,250,000","2,153.88","2,437",Jul-25,JALAN ISMAIL,Resale,Land,200.1,"26,237",-,Semi-Detached House,1,Freehold,14,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,230,000","3,509.06","1,775",Jul-25,TOH YI ROAD,Resale,Land,326,"19,110",-,Terrace House,1,Freehold,21,Rest of Central Region,-
PEOPLE'S GARDEN,"5,980,000","1,895.54","3,155",Jul-25,LORONG 6 REALTY PARK,Resale,Land,176.1,"33,958",-,Terrace House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
THOMSON GARDEN ESTATE,"6,250,000","3,652.23","1,711",Jul-25,JALAN KHAMIS,Resale,Land,339.3,"18,420",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,750,000","1,534.95","3,095",Jul-25,LORONG STANGEE,Resale,Land,142.6,"33,310",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"7,300,000","4,307.75","1,695",Jul-25,JALAN HOCK CHYE,Resale,Land,400.2,"18,241",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
NIM COLLECTION,"3,740,000","1,614.6","2,316",Jun-25,NIM RISE,Resale,Land,150,"24,933",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,680,000","7,110.7","1,502",Jun-25,SIANG KUANG AVENUE,Resale,Land,660.6,"16,167",-,Detached House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,750,000","2,964.41","2,277",Jun-25,DUNEARN ROAD,Resale,Land,275.4,"24,510",-,Semi-Detached House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,680,000","2,718.99","1,721",Jun-25,LORONG GAMBIR,Resale,Land,252.6,"18,527",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,800,000","5,879.3",987,Jun-25,KEW CRESCENT,Resale,Land,546.2,"10,619",-,Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
THOMSON HILLS ESTATE,"4,000,000","2,203.39","1,815",Jun-25,THOMSON TERRACE,Resale,Land,204.7,"19,541",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"18,000,000","8,477.73","2,123",Jun-25,HOLLAND GROVE LANE,Resale,Land,787.6,"22,854",-,Detached House,1,Freehold,10,Core Central Region,-
TAI HWAN GARDEN,"6,370,000","2,782.49","2,289",Jun-25,TAI HWAN AVENUE,Resale,Land,258.5,"24,642",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"8,000,000","4,191.5","1,909",Jun-25,SERANGOON GARDEN WAY,Resale,Land,389.4,"20,544",-,Semi-Detached House,1,999 yrs lease commencing from 1954,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,999,999","2,699.61","1,852",Jun-25,HYTHE ROAD,Resale,Land,250.8,"19,936",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
CHUAN YUAN,"3,400,000","1,900.92","1,789",Jun-25,CHUAN DRIVE,Resale,Land,176.6,"19,253",-,Terrace House,1,99 yrs lease commencing from 2002,19,Outside Central Region,-
GERALD MUGLISTON ESTATE,"16,700,000","7,369.03","2,266",Jun-25,JALAN KECHUBONG,Resale,Land,684.6,"24,394",-,Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
MIMOSA VALE,"3,550,000","1,847.1","1,922",Jun-25,MIMOSA VALE,Resale,Land,171.6,"20,688",-,Terrace House,1,999 yrs lease commencing from 1878,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"18,700,000","9,368.99","1,996",Jun-25,GARLICK AVENUE,Resale,Land,870.4,"21,484",-,Detached House,1,Freehold,10,Core Central Region,-
VILLA VERDE,"2,490,000","1,615.68","1,541",Jun-25,VERDE VIEW,Resale,Land,150.1,"16,589",-,Terrace House,1,99 yrs lease commencing from 1997,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,520,000","2,486.48","1,818",Jun-25,MERAGI ROAD,Resale,Land,231,"19,567",-,Terrace House,1,Freehold,16,Outside Central Region,-
CHANGI HEIGHTS,"3,660,000","1,783.59","2,052",Jun-25,JALAN SINAR BULAN,Resale,Land,165.7,"22,088",-,Terrace House,1,Freehold,17,Outside Central Region,-
EAST COAST HILL,"4,170,000","1,844.95","2,260",Jun-25,SENNETT PLACE,Resale,Land,171.4,"24,329",-,Terrace House,1,Freehold,16,Outside Central Region,-
LENTOR VILLAS,"4,600,000","2,272.28","2,024",Jun-25,LENTOR LINK,Resale,Land,211.1,"21,791",-,Terrace House,1,Freehold,26,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"2,810,000","1,297.06","2,166",Jun-25,JALAN HIBORAN,Resale,Land,120.5,"23,320",-,Terrace House,1,Freehold,13,Rest of Central Region,-
THE SPRINGSIDE,"4,080,000","1,679.18","2,430",Jun-25,SPRINGSIDE WALK,Resale,Land,156,"26,154",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,500,000","4,475.67","1,452",Jun-25,GLASGOW ROAD,Resale,Land,415.8,"15,633",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,500,000","4,788.9","1,357",Jun-25,GLASGOW ROAD,Resale,Land,444.9,"14,610",-,Semi-Detached House,1,999 yrs lease commencing from 1876,19,Outside Central Region,-
LUXUS HILLS,"4,800,000","1,614.6","2,973",Jun-25,LUXUS HILL DRIVE,Resale,Land,150,"32,000",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,280,000","1,964.43","2,179",Jun-25,JALAN LIMAU KASTURI,Resale,Land,182.5,"23,452",-,Terrace House,1,999 yrs lease commencing from 1878,16,Outside Central Region,-
MCMAHON PARK,"8,800,000","3,527.36","2,495",Jun-25,JALAN JELITA,Resale,Land,327.7,"26,854",-,Semi-Detached House,1,999 yrs lease commencing from 1877,10,Core Central Region,-
LOYANG VILLAS,"2,425,000","1,614.6","1,502",Jun-25,LOYANG VIEW,Resale,Land,150,"16,167",-,Terrace House,1,99 yrs lease commencing from 1993,17,Outside Central Region,-
SELETAR HILLS ESTATE,"10,250,000","7,845.88","1,306",Jun-25,NIM ROAD,Resale,Land,728.9,"14,062",-,Detached House,1,Freehold,28,Outside Central Region,-
THOMSON PARK,"4,700,000","2,453.12","1,916",Jun-25,JALAN TERUBOK,Resale,Land,227.9,"20,623",-,Semi-Detached House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,000,000","2,288.43","1,311",Jun-25,KEW DRIVE,Resale,Land,212.6,"14,111",-,Terrace House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
OPERA ESTATE,"3,100,000","2,671.62","1,160",Jun-25,DIDO STREET,Resale,Land,248.2,"12,490",-,Terrace House,1,Freehold,15,Outside Central Region,-
MACPHERSON GARDEN ESTATE,"2,690,000",970.91,"2,771",Jun-25,JALAN KEMAJUAN,Resale,Land,90.2,"29,823",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,428,000","1,627.52","2,721",Jun-25,TAI KENG GARDENS,Resale,Land,151.2,"29,286",-,Terrace House,1,Freehold,19,Outside Central Region,-
MAYFLOWER GARDENS,"5,450,000","3,443.4","1,583",Jun-25,MAYFLOWER PLACE,Resale,Land,319.9,"17,037",-,Semi-Detached House,1,Freehold,20,Outside Central Region,-
WINDSOR PARK ESTATE,"4,555,558","2,041.93","2,231",Jun-25,WINDSOR PARK ROAD,Resale,Land,189.7,"24,015",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LIRIA TERRACE,"3,830,000","1,627.52","2,353",Jun-25,MARIAM WALK,Resale,Land,151.2,"25,331",-,Terrace House,1,Freehold,17,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,850,000","2,859.99","1,696",Jun-25,GERALD DRIVE,Resale,Land,265.7,"18,254",-,Semi-Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,800,000","1,799.74","2,111",Jun-25,MANGIS ROAD,Resale,Land,167.2,"22,727",-,Terrace House,1,Freehold,15,Rest of Central Region,-
HILLVIEW GARDEN ESTATE,"7,600,000","5,145.19","1,477",Jun-25,ELIZABETH DRIVE,Resale,Land,478,"15,900",-,Terrace House,1,Freehold,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,800,000","2,963.33","1,957",Jun-25,WINDSOR PARK ROAD,Resale,Land,275.3,"21,068",-,Terrace House,1,Freehold,20,Rest of Central Region,-
SEMBAWANG SPRINGS ESTATE,"5,100,000","4,612.37","1,106",Jun-25,JALAN KEMUNING,Resale,Land,428.5,"11,902",-,Semi-Detached House,1,999 yrs lease commencing from 1885,27,Outside Central Region,-
HONG KONG PARK,"8,000,000","3,997.75","2,001",Jun-25,HUA GUAN AVENUE,Resale,Land,371.4,"21,540",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
MERA TERRACE,"4,100,000","1,614.6","2,539",Jun-25,SEAGULL WALK,Resale,Land,150,"27,333",-,Terrace House,1,Freehold,16,Outside Central Region,-
THE RIVERINA,"2,688,000","1,787.9","1,503",Jun-25,RIVERINA WALK,Resale,Land,166.1,"16,183",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
MING TECK PARK,"6,800,000","4,028.97","1,688",Jun-25,SIXTH AVENUE,Resale,Land,374.3,"18,167",-,Semi-Detached House,1,999 yrs lease commencing from 1876,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","2,364.85","2,114",Jun-25,TANNERY LANE,Resale,Land,219.7,"22,758",-,Terrace House,1,Freehold,13,Rest of Central Region,-
SHAMROCK PARK,"7,028,000","3,842.75","1,829",Jun-25,NAMLY PLACE,Resale,Land,357,"19,686",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"12,250,000","8,470.19","1,446",Jun-25,CHESTNUT CRESCENT,Resale,Land,786.9,"15,567",-,Detached House,1,Freehold,23,Outside Central Region,-
THOMSON GARDEN ESTATE,"2,650,000",884.8,"2,995",Jun-25,JALAN CHEGAR,Resale,Land,82.2,"32,238",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,380,000","3,304.55","2,536",Jun-25,PALM AVENUE,Resale,Land,307,"27,296",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
OPERA ESTATE,"6,500,000","3,003.16","2,164",Jun-25,CARMEN STREET,Resale,Land,279,"23,297",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
CALDECOTT HILL ESTATE,"30,000,000","14,499.11","2,069",Jun-25,JOAN ROAD,Resale,Land,"1,347","22,272",-,Detached House,1,Freehold,11,Core Central Region,-
MCMAHON PARK,"5,725,000","2,454.19","2,333",Jun-25,HOLLAND ROAD,Resale,Land,228,"25,110",-,Semi-Detached House,1,999 yrs lease commencing from 1877,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"6,365,000","4,020.35","1,583",Jun-25,JOO CHIAT LANE,Resale,Land,373.5,"17,041",-,Semi-Detached House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,800,000","5,107.52","1,331",Jun-25,SENNETT CLOSE,Resale,Land,474.5,"14,331",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
THE RIVERINA,"2,568,888","1,614.6","1,591",Jun-25,RIVERINA VIEW,Resale,Land,150,"17,126",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
FLORISSA PARK,"4,470,000","2,252.91","1,984",Jun-25,FLORISSA PARK,Resale,Land,209.3,"21,357",-,Terrace House,1,Freehold,26,Outside Central Region,-
HIGHGATE PARK,"4,400,000","1,783.59","2,467",Jun-25,HIGHGATE CRESCENT,Resale,Land,165.7,"26,554",-,Terrace House,1,Freehold,21,Rest of Central Region,-
SARACA GARDENS,"4,600,000","3,300.24","1,394",Jun-25,SARACA WALK,Resale,Land,306.6,"15,003",-,Terrace House,1,Freehold,28,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,180,000","2,501.55","2,071",Jun-25,JALAN SENANG,Resale,Land,232.4,"22,289",-,Terrace House,1,Freehold,14,Outside Central Region,-
SERANGOON PARK,"5,338,888","3,815.84","1,399",Jun-25,JALAN RIANG,Resale,Land,354.5,"15,060",-,Semi-Detached House,1,Freehold,13,Outside Central Region,-
RAYA GARDEN,"3,200,000","1,683.49","1,901",Jun-25,JALAN KELICHAP,Resale,Land,156.4,"20,460",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"25,000,000","8,250.61","3,030",Jun-25,CHATSWORTH AVENUE,Resale,Land,766.5,"32,616",-,Detached House,1,Freehold,10,Core Central Region,-
TANAH MERAH GREEN,"2,943,888","1,640.43","1,795",Jun-25,TANAH MERAH KECHIL ROAD,Resale,Land,152.4,"19,317",-,Terrace House,1,99 yrs lease commencing from 1997,16,Outside Central Region,-
THOMSON GARDEN ESTATE,"5,750,000","1,799.74","3,195",Jun-25,JALAN HARI RAYA,Resale,Land,167.2,"34,390",-,Terrace House,1,Freehold,20,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,500,000","2,869.68","1,568",Jun-25,TOH CLOSE,Resale,Land,266.6,"16,879",-,Semi-Detached House,1,Freehold,17,Outside Central Region,-
LENTOR VILLAS,"4,453,800","2,279.82","1,954",Jun-25,LENTOR STREET,Resale,Land,211.8,"21,028",-,Terrace House,1,Freehold,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,160,000","2,289.5","1,380",Jun-25,WAK HASSAN DRIVE,Resale,Land,212.7,"14,857",-,Semi-Detached House,1,99 yrs lease commencing from 2008,27,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"22,000,000","31,882.97",690,Jun-25,GERALD CRESCENT,Resale,Land,"2,962","7,427",-,Detached House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
MOUNT SINAI,"9,899,999","3,911.64","2,531",Jun-25,MOUNT SINAI DRIVE,Resale,Land,363.4,"27,243",-,Semi-Detached House,1,999 yrs lease commencing from 1885,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,880,000","1,555.4","3,780",Jun-25,TENG TONG ROAD,Resale,Land,144.5,"40,692",-,Terrace House,1,Freehold,15,Rest of Central Region,-
EAST VIEW GARDEN,"7,800,000","4,080.63","1,911",Jun-25,UPPER CHANGI ROAD EAST,Resale,Land,379.1,"20,575",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,980,000","2,402.52","1,240",Jun-25,KEW HEIGHTS,Resale,Land,223.2,"13,351",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
FORTUNA GARDENS,"3,700,000","1,760.99","2,101",Jun-25,DA SILVA LANE,Resale,Land,163.6,"22,616",-,Terrace House,1,Freehold,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"5,188,000","1,839.57","2,820",Jun-25,CHISELHURST GROVE,Resale,Land,170.9,"30,357",-,Terrace House,1,999 yrs lease commencing from 1956,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,950,000","1,665.19","2,372",Jun-25,JALAN TARI DULANG,Resale,Land,154.7,"25,533",-,Terrace House,1,999 yrs lease commencing from 1879,28,Outside Central Region,-
THE RIVERINA,"2,718,800","2,152.8","1,263",Jun-25,RIVERINA VIEW,Resale,Land,200,"13,594",-,Terrace House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
RICHMOND VILLE,"4,780,000","2,231.38","2,142",Jun-25,LIMAU GARDEN,Resale,Land,207.3,"23,058",-,Semi-Detached House,1,Freehold,16,Outside Central Region,-
CENTURY WOODS,"3,210,000","3,253.96",986,Jun-25,WOODGROVE WALK,Resale,Land,302.3,"10,619",-,Terrace House,1,99 yrs lease commencing from 1996,25,Outside Central Region,-
SOO CHOW GARDEN,"4,880,000","1,848.18","2,640",Jun-25,SOO CHOW VIEW,Resale,Land,171.7,"28,422",-,Terrace House,1,Freehold,20,Rest of Central Region,-
THOMSON HILLS ESTATE,"3,800,000","2,217.38","1,714",Jun-25,THOMSON TERRACE,Resale,Land,206,"18,447",-,Terrace House,1,Freehold,20,Outside Central Region,-
AVILA TERRACE,"3,680,000","1,756.68","2,095",Jun-25,MARIAM WAY,Resale,Land,163.2,"22,549",-,Terrace House,1,Freehold,17,Outside Central Region,-
SENNETT ESTATE,"3,915,000","2,036.55","1,922",Jun-25,BELIMBING AVENUE,Resale,Land,189.2,"20,692",-,Terrace House,1,Freehold,13,Rest of Central Region,-
HUIT,"4,700,000","3,164.62","1,485",Jun-25,MENG SUAN ROAD,Resale,Land,294,"15,986",-,Terrace House,1,999 yrs lease commencing from 1884,26,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,500,000","3,009.61","1,495",Jun-25,JALAN GIRANG,Resale,Land,279.6,"16,094",-,Terrace House,1,Freehold,13,Outside Central Region,-
SANFORD PARK,"5,250,000","2,953.64","1,777",Jun-25,SIRAT PLACE,Resale,Land,274.4,"19,133",-,Terrace House,1,Freehold,19,Outside Central Region,-
SHAMROCK PARK,"10,450,000","3,232.43","3,233",Jun-25,NAMLY AVENUE,Resale,Land,300.3,"34,799",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"3,700,000","1,280.92","2,889",Jun-25,HOW SUN AVENUE,Resale,Land,119,"31,092",-,Terrace House,1,Freehold,19,Outside Central Region,-
BAN GUAN PARK,"7,300,000","3,589.79","2,034",Jun-25,GREENLEAF DRIVE,Resale,Land,333.5,"21,889",-,Semi-Detached House,1,Freehold,10,Core Central Region,-
THE COUNTRYSIDE,"4,850,000","2,583.36","1,877",Jun-25,COUNTRYSIDE ROAD,Resale,Land,240,"20,208",-,Semi-Detached House,1,Freehold,26,Outside Central Region,-
SENNETT ESTATE,"3,150,900","1,340.12","2,351",Jun-25,JALAN WANGI,Resale,Land,124.5,"25,308",-,Terrace House,1,Freehold,13,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,708,888","1,999.95","2,355",Jun-25,JALAN LEPAS,Resale,Land,185.8,"25,344",-,Terrace House,1,Freehold,19,Outside Central Region,-
CASHEW VILLAS,"3,938,000","1,617.83","2,434",Jun-25,CASHEW CRESCENT,Resale,Land,150.3,"26,201",-,Terrace House,1,999 yrs lease commencing from 1883,23,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,550,000","1,431.61","2,480",Jun-25,DUKU ROAD,Resale,Land,133,"26,692",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"2,680,000","1,889.08","1,419",Jun-25,OAKWOOD GROVE,Resale,Land,175.5,"15,271",-,Terrace House,1,99 yrs lease commencing from 1995,25,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"4,230,000","3,514.45","1,204",Jun-25,LORONG SELANGAT,Resale,Land,326.5,"12,956",-,Terrace House,1,Freehold,13,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"3,500,000","2,365.93","1,479",Jun-25,KEW HEIGHTS,Resale,Land,219.8,"15,924",-,Semi-Detached House,1,99 yrs lease commencing from 1994,16,Outside Central Region,-
SARINA TERRACE,"3,735,000","1,809.43","2,064",Jun-25,LORONG SARINA,Resale,Land,168.1,"22,219",-,Terrace House,1,Freehold,14,Outside Central Region,-
PAVILION PARK,"4,668,000","2,152.8","2,168",Jun-25,PAVILION RISE,Resale,Land,200,"23,340",-,Semi-Detached House,1,Freehold,23,Outside Central Region,-
THE RIVERINA,"2,900,000","2,430.51","1,193",Jun-25,RIVERINA VIEW,Resale,Land,225.8,"12,843",-,Semi-Detached House,1,99 yrs lease commencing from 1996,18,Outside Central Region,-
CAYMAN RESIDENCES,"6,500,000","2,257.21","2,880",Jun-25,EAST COAST AVENUE,Resale,Land,209.7,"30,997",-,Terrace House,1,Freehold,15,Outside Central Region,-
WINDSOR PARK ESTATE,"4,255,000","2,039.78","2,086",Jun-25,CAPRICORN DRIVE,Resale,Land,189.5,"22,454",-,Terrace House,1,Freehold,20,Rest of Central Region,-
